MonoMass	MinElutionTime	MaxElutionTime	CV30_H3_C1_Abundance	CV30_H3_C2_Abundance	CV30_H3_C3_Abundance	CV30_H3_C4_Abundance	CV30_H3_C5_Abundance	CV30_H4_A1_Abundance	CV30_H4_A2_Abundance	CV30_H4_A3_Abundance	CV30_H4_A4_Abundance	CV30_H3_C1_Ms1Score	CV30_H3_C2_Ms1Score	CV30_H3_C3_Ms1Score	CV30_H3_C4_Ms1Score	CV30_H3_C5_Ms1Score	CV30_H4_A1_Ms1Score	CV30_H4_A2_Ms1Score	CV30_H4_A3_Ms1Score	CV30_H4_A4_Ms1Score	CV30_H3_C1_FeatureId	CV30_H3_C2_FeatureId	CV30_H3_C3_FeatureId	CV30_H3_C4_FeatureId	CV30_H3_C5_FeatureId	CV30_H4_A1_FeatureId	CV30_H4_A2_FeatureId	CV30_H4_A3_FeatureId	CV30_H4_A4_FeatureId
2000.19343	54.84	56.378	15202.11	70517.91	260709.9	68245.57	744026.3	587992.9	1.532811E+06	1.391829E+06	1.483281E+06	-2517.038	24.2319	-3.402823E+38	-2512.15	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	0	1	0	0	0	0	0	0	0
2018.5832	41.118	44.469	113251.4	106560.6	53056.02	380229.6	32554.17	76849.72	149977.2	148822.8	451208.8	19.58304	10.29189	5.3479	-3.402823E+38	-2516.393	-3.402823E+38	19.1936	-3.402823E+38	-3.402823E+38	0	0	1	0	0	0	1	0	0
2019.5834	41.597	43.856	99538.75	99929.42	81278.32	54894.75	159811.8	9755.181	270419.2	133807.3	389261.3	27.0817	32.6207	37.4494	-1590.156	-1594.139	-1818.257	36.9728	-3.402823E+38	-3.402823E+38	1	2	2	0	0	0	2	0	0
2021.5813	42.498	44.469	106054.3	92335.3	80138.65	46860.67	72641.7	5081.408	117005.4	124122.9	122227.6	-3.402823E+38	-3.402823E+38	-3.402823E+38	-2511.049	-1598.333	-1815.915	26.1208	-3.402823E+38	-2515.044	0	0	0	0	0	0	3	0	0
2032.01699	38.504	40.336	466574.3	162801.4	132127	40057.25	917243.5	66782.11	279813.1	105942.3	395493	-1818.706	15.0352	-1816.699	-2512.934	24.3383	-3.402823E+38	18.72131	-3.402823E+38	-906.8496	0	3	0	0	0	0	0	0	0
2038.09645	56.198	57.981	531827.5	57638.94	110476.8	208283.3	179347.8	15806.12	276415.6	673879.6	198142.4	-3.402823E+38	31.1533	-3.402823E+38	-3.402823E+38	-3.402823E+38	43.1254	-3.402823E+38	-3.402823E+38	-3.402823E+38	0	4	0	0	0	1	0	0	0
2042.44822	38.923	41.322	234409.1	201368.9	16994.56	484688.8	1.121501E+06	75571.44	114606.3	103896.5	68117.75	9.647448	-3.402823E+38	-3.7432	-3.402823E+38	-3.402823E+38	-3.402823E+38	11.63605	-3.402823E+38	-1813.347	0	0	3	0	0	0	0	0	0
2043.20935	55.723	56.531	171309.9	134033.2	77811.55	54619.82	37631.36	9271.71	29336.13	9212.06	1.278158E+06	44.6895	36.7632	36.9214	-1809.296	-2512.812	-1593.898	-2510.249	-2519.341	-3.402823E+38	2	5	4	0	0	0	0	0	0
2046.58692	39.755	42.077	119416	27860.6	134181.1	86351.87	882425.4	64178.82	390324.9	8591.6	42058.82	28.6212	-1816	-3.402823E+38	-1583.94	-3.402823E+38	-3.402823E+38	-3.402823E+38	-1819.172	16.6151	3	0	0	0	0	0	0	0	1
2047.58783	39.627	41.118	276631.4	109201.8	89902.86	112017.2	198005.7	7177.752	358119.9	95483.17	105279.3	3.2002	-3.402823E+38	-3.402823E+38	-2516.535	-1814.967	-2510.452	-3.402823E+38	-3.402823E+38	30.20162	4	0	0	0	0	0	0	0	0
2087.23634	56.051	56.932	218286.9	115414.9	71176.75	33133.96	38067.5	7065.021	30531.95	10174.29	575900.3	52.4743	-1580.043	23.1053	-2520.806	-2511.242	-2512.423	-1799.324	-2519.952	-3.402823E+38	5	0	5	0	0	0	0	0	0
2131.26393	56.299	57.186	158904.5	85949.57	65450.81	34779.85	35370.16	69304.57	20122.78	34809.19	12095.97	59.0668	-1584.988	35.1246	-1593.189	-1588.032	-3.402823E+38	-1603.174	-1584.928	-2511.245	6	0	6	0	0	0	0	0	0
2175.28688	56.555	57.633	120165	98407.99	54789.55	48360.52	32318.46	40262.62	20339.01	180824.3	12403.51	-1579.69	-1584.892	59.5587	-1586.71	-1596.765	-3.402823E+38	-2515.027	-3.402823E+38	-2515.508	0	0	7	0	0	0	0	0	0
2220.3208	56.757	58.534	70965.99	191929.9	105133.6	155120.2	13073.3	53946.94	222039.5	197156.8	230661.8	23.8838	-3.402823E+38	-3.402823E+38	-3.402823E+38	-2516.235	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	7	0	0	0	0	0	0	0	0
2227.6803	50.864	52.618	312773	54921.46	89707.22	53269.3	254059.1	43065.48	107944.2	217894.6	244579.7	-3.402823E+38	-2516.956	-2516.909	24.5875	-3.402823E+38	-3.402823E+38	-2517.28	-3.402823E+38	-3.402823E+38	0	0	0	1	0	0	0	0	0
2241.0517	54.13	55.088	48211.37	43488.13	59657.39	1.307757E+06	40709.46	63799.31	74230.23	137185	52643.56	-1598.105	38.1827	-1581.308	-3.402823E+38	-1589.926	-3.402823E+38	-1578.203	-3.402823E+38	-1580.298	0	6	0	0	0	0	0	0	0
2307.36659	57.572	59.247	138310.4	118368.3	40398.69	27858.33	253142.5	60753.18	210401.7	34236.44	255228.2	23.7045	-1429.231	-2181.204	-2183.948	-3.402823E+38	-3.402823E+38	-3.402823E+38	-2181.53	-3.402823E+38	8	0	0	0	0	0	0	0	0
2308.36939	57.452	59.247	79268.72	80735.56	26999.89	186360.4	253142.5	60753.18	210401.7	166730.9	243581.2	-1451.912	13.8677	-2187.422	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	0	7	0	0	0	0	0	0	0
2356.34805	41.519	43.917	22117.43	51958.32	107918.9	27585.23	55621.66	51207.33	201536.2	114469.5	337151.9	-2182.568	11.977	-3.402823E+38	-700.6564	-1453.812	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	0	8	0	0	0	0	0	0	0
2365.97013	12.59	15.196	84413.76	73592.69	70682.81	94022.86	48192.6	14361.52	71883.99	39126.55	78191.1	-1433.087	21.5989	-1431.138	-1430.272	-1430.988	-3.402823E+38	-1430.502	-1435.364	-1429.772	0	9	0	0	0	0	0	0	0
2366.9705	12.735	15.288	35665.99	50955.2	47378.28	55706.67	29171.68	15643.63	47617.9	14216.26	40142.03	-1455.834	-2184.725	-1450.414	-1449.86	-2184.769	-3.402823E+38	19.3405	-2184.457	-1446.356	0	0	0	0	0	0	4	0	0
2483.2758	50.713	53.467	602408.3	397359.3	323174.3	412920.9	362469.2	68869.55	261349.3	1.13662E+06	329622.1	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-2189.1	19.3583	-3.402823E+38	0	0	0	0	0	0	0	1	0
2527.49208	59.104	60.826	18001.53	33787.64	97195.98	130261.3	17357.36	45556.87	174057.2	157947.7	127343.3	-2185.794	49.788	-3.402823E+38	-3.402823E+38	-1444.197	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	0	10	0	0	0	0	0	0	0
